id,scraped_at,travel_date,from_city,to_city,departure,arrival,price,driver,rating,seats_available,seats_total,seats_booked
60,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,10:10,12:40,350.0,N/A,,,3,
61,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,10:10,13:30,520.0,Raju,5.0,,3,
62,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,10:10,12:20,530.0,N/A,,,3,
101,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,10:10,14:00,550.0,Vinod Reddy,0.0,,3,
14,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,10:20,13:40,600.0,Yaseen,5.0,,3,
102,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,10:20,13:50,500.0,N/A,,,3,
15,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,10:30,15:40,700.0,Nagarjuna,1.0,,3,
16,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,10:30,15:50,800.0,Ramesh,4.8,,3,
63,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,10:30,13:50,500.0,N/A,,,3,
103,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,10:30,14:20,480.0,Madhu,3.8,,3,
104,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,10:30,14:00,490.0,N/A,,,3,
105,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,10:30,14:00,500.0,N/A,,,3,
106,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,10:30,14:00,500.0,Shaik,0.0,,3,
108,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,10:30,14:20,550.0,Shaik Abdul,0.0,,3,
109,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,10:30,14:20,600.0,Swamy,3.9,,3,
110,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,10:30,13:10,640.0,N/A,,,3,
64,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,10:40,12:50,510.0,N/A,,,3,
65,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,10:50,13:20,340.0,N/A,,,3,
66,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,10:50,14:10,480.0,N/A,,3.0,3,0.0
111,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,10:50,13:20,570.0,Ajay,5.0,,3,
17,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,11:00,15:50,800.0,Blossom,4.5,,3,
18,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,11:00,15:40,800.0,Ravikiran,4.7,,3,
19,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,11:00,14:40,840.0,Abhiram,0.0,,3,
67,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,11:00,14:00,350.0,N/A,,,3,
68,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,11:00,13:30,430.0,N/A,,,3,
69,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,11:00,14:50,500.0,N/A,,,3,
112,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,11:00,14:30,500.0,Shaik,4.8,,3,
113,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,11:00,14:30,500.0,N/A,,,3,
114,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,11:00,13:30,550.0,Vikas,5.0,,3,
115,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,11:00,13:40,740.0,Raj,4.7,,3,
70,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,11:10,14:20,550.0,Swetha,4.4,,3,
